timestamp,date,time,open,high,low,close,volume
1736240100000,2025-01-07,08:55:00,2640.805,2642.545,2640.425,2642.485,0.2285
1736240400000,2025-01-07,09:00:00,2642.425,2642.925,2641.165,2641.425,0.3323
1736240700000,2025-01-07,09:05:00,2641.425,2641.995,2640.235,2640.325,0.3909
1736241000000,2025-01-07,09:10:00,2640.325,2641.605,2640.025,2640.195,0.3074
1736241300000,2025-01-07,09:15:00,2640.178,2641.335,2640.095,2640.885,0.2111
1736241600000,2025-01-07,09:20:00,2640.895,2641.275,2640.205,2641.265,0.2081
1736241900000,2025-01-07,09:25:00,2641.235,2644.025,2640.898,2643.895,0.1753
1736242200000,2025-01-07,09:30:00,2643.395,2643.705,2641.875,2642.345,0.2126
1736242500000,2025-01-07,09:35:00,2642.325,2642.648,2641.075,2642.548,0.2218
1736242800000,2025-01-07,09:40:00,2642.345,2642.655,2640.915,2641.265,0.15
1736243100000,2025-01-07,09:45:00,2641.255,2641.435,2640.465,2640.945,0.1253
1736243400000,2025-01-07,09:50:00,2640.965,2642.355,2640.965,2641.565,0.1887
1736243700000,2025-01-07,09:55:00,2641.615,2642.048,2641.005,2641.175,0.1393
1736244000000,2025-01-07,10:00:00,2641.155,2642.255,2641.148,2641.848,0.1845
1736244300000,2025-01-07,10:05:00,2641.805,2643.765,2641.748,2643.185,0.1856
1736244600000,2025-01-07,10:10:00,2643.185,2643.495,2642.535,2642.848,0.2892
1736244900000,2025-01-07,10:15:00,2642.848,2643.465,2642.615,2643.205,0.1847
1736245200000,2025-01-07,10:20:00,2643.215,2643.485,2642.375,2642.555,0.1763
1736245500000,2025-01-07,10:25:00,2642.555,2642.925,2642.115,2642.495,0.2177
1736245800000,2025-01-07,10:30:00,2642.515,2644.335,2642.485,2643.185,0.2831
1736246100000,2025-01-07,10:35:00,2643.105,2644.335,2643.105,2644.295,0.2766
1736246400000,2025-01-07,10:40:00,2644.285,2644.565,2643.485,2643.705,0.2542
1736246700000,2025-01-07,10:45:00,2643.675,2643.695,2642.675,2643.355,0.2038
1736247000000,2025-01-07,10:50:00,2643.515,2643.895,2642.825,2643.325,0.1282
1736247300000,2025-01-07,10:55:00,2643.455,2643.995,2643.285,2643.725,0.1532
1736247600000,2025-01-07,11:00:00,2643.715,2645.395,2643.698,2645.248,0.195
1736247900000,2025-01-07,11:05:00,2645.295,2646.848,2644.965,2646.285,0.2494
